date,open,high,low,close,volume
2022-07-26,16.2,16.2,16.2,16.2,0
2022-07-27,16.2,16.2,16.2,16.2,0
2022-07-28,16.2,16.2,16.2,16.2,0
2022-07-29,16.2,16.2,16.2,16.2,0
2022-08-01,16.2,16.2,16.2,16.2,0
2022-08-02,16.0,16.0,16.0,16.0,100
2022-08-03,16.0,16.0,16.0,16.0,0
2022-08-04,16.0,16.0,16.0,16.0,0
2022-08-05,16.0,16.0,16.0,16.0,0
2022-08-08,16.0,16.0,16.0,16.0,0
2022-08-09,16.0,16.0,16.0,16.0,0
2022-08-10,16.0,16.0,16.0,16.0,0
2022-08-11,16.0,16.0,16.0,16.0,0
2022-08-12,16.0,16.0,16.0,16.0,0
2022-08-15,16.0,16.0,16.0,16.0,0
2022-08-16,16.0,16.0,16.0,16.0,0
2022-08-17,16.0,16.0,16.0,16.0,0
2022-08-18,16.0,16.0,16.0,16.0,0
2022-08-19,16.0,16.0,16.0,16.0,0
2022-08-22,16.0,16.0,16.0,16.0,0
2022-08-23,16.0,16.0,16.0,16.0,0
2022-08-24,16.0,16.0,16.0,16.0,0
2022-08-25,16.0,16.0,16.0,16.0,0
2022-08-26,16.0,16.0,16.0,16.0,0
2022-08-29,16.0,16.0,16.0,16.0,0
2022-08-30,16.0,16.0,16.0,16.0,0
2022-08-31,16.0,16.0,16.0,16.0,0
2022-09-05,16.0,16.0,16.0,16.0,0
2022-09-06,16.0,16.0,16.0,16.0,0
2022-09-07,16.0,16.0,16.0,16.0,0
2022-09-08,16.0,16.0,16.0,16.0,0
2022-09-09,16.0,16.0,16.0,16.0,0
2022-09-12,16.0,16.0,16.0,16.0,0
2022-09-13,16.0,16.0,16.0,16.0,0
2022-09-14,16.0,16.0,16.0,16.0,0
2022-09-15,16.0,16.0,16.0,16.0,0
2022-09-16,16.0,16.0,16.0,16.0,0
2022-09-19,16.0,16.0,16.0,16.0,0
2022-09-20,16.0,16.0,16.0,16.0,0
2022-09-21,16.0,16.0,16.0,16.0,0
2022-09-22,16.0,16.0,16.0,16.0,0
2022-09-23,16.0,16.0,16.0,16.0,0
2022-09-26,16.0,16.0,16.0,16.0,0
2022-09-27,16.0,16.0,16.0,16.0,0
2022-09-28,16.0,16.0,16.0,16.0,0
2022-09-29,16.0,16.0,16.0,16.0,0
2022-09-30,16.0,16.0,16.0,16.0,0
2022-10-03,16.0,16.0,16.0,16.0,0
2022-10-04,16.0,16.0,16.0,16.0,0
2022-10-05,16.0,16.0,16.0,16.0,0
2022-10-06,16.0,16.0,16.0,16.0,0
2022-10-07,16.0,16.0,16.0,16.0,0
2022-10-10,16.0,16.0,16.0,16.0,0
2022-10-11,16.0,16.0,16.0,16.0,0
2022-10-12,16.0,16.0,16.0,16.0,0
2022-10-13,16.0,16.0,16.0,16.0,0
2022-10-14,16.0,16.0,16.0,16.0,0
2022-10-17,16.0,16.0,16.0,16.0,0
2022-10-18,16.0,16.0,16.0,16.0,0
2022-10-19,16.0,16.0,16.0,16.0,0
2022-10-20,16.0,16.0,16.0,16.0,0
2022-10-21,16.0,16.0,16.0,16.0,0
2022-10-24,16.0,16.0,16.0,16.0,0
2022-10-25,16.0,16.0,16.0,16.0,0
2022-10-26,16.0,16.0,16.0,16.0,0
2022-10-27,16.0,16.0,16.0,16.0,0
2022-10-28,15.0,15.0,15.0,15.0,100
2022-10-31,15.0,15.0,15.0,15.0,0
2022-11-01,15.0,15.0,15.0,15.0,0
2022-11-02,15.0,15.0,15.0,15.0,0
2022-11-03,15.0,15.0,15.0,15.0,0
2022-11-04,15.0,15.0,15.0,15.0,0
2022-11-07,15.0,15.0,15.0,15.0,0
2022-11-08,15.0,15.0,15.0,15.0,0
2022-11-09,15.0,15.0,15.0,15.0,0
2022-11-10,15.0,15.0,15.0,15.0,1
2022-11-11,15.0,15.0,15.0,15.0,0
2022-11-14,15.0,15.0,15.0,15.0,0
2022-11-15,15.0,15.0,15.0,15.0,0
2022-11-16,15.0,15.0,15.0,15.0,0
2022-11-17,15.0,15.0,15.0,15.0,0
2022-11-18,15.0,15.0,15.0,15.0,0
2022-11-21,15.0,15.0,15.0,15.0,0
2022-11-22,15.0,15.0,15.0,15.0,0
2022-11-23,15.0,15.0,15.0,15.0,0
2022-11-24,15.0,15.0,15.0,15.0,0
2022-11-25,15.0,15.0,15.0,15.0,0
2022-11-28,15.0,15.0,15.0,15.0,0
2022-11-29,15.0,15.0,15.0,15.0,0
2022-11-30,15.0,15.0,15.0,15.0,0
2022-12-01,15.0,15.0,15.0,15.0,0
2022-12-02,15.0,15.0,15.0,15.0,0
2022-12-05,15.0,15.0,15.0,15.0,0
2022-12-06,15.0,15.0,15.0,15.0,0
2022-12-07,15.0,15.0,15.0,15.0,0
2022-12-08,15.0,15.0,15.0,15.0,0
2022-12-09,15.0,15.0,15.0,15.0,0
2022-12-12,15.0,15.0,15.0,15.0,0
2022-12-13,15.0,15.0,15.0,15.0,0
2022-12-14,15.0,15.0,15.0,15.0,0
2022-12-15,15.0,15.0,15.0,15.0,0
2022-12-16,15.0,15.0,15.0,15.0,0
2022-12-19,15.0,15.0,15.0,15.0,0
2022-12-20,15.0,15.0,15.0,15.0,0
2022-12-21,15.0,15.0,15.0,15.0,0
2022-12-22,15.0,15.0,15.0,15.0,0
2022-12-23,15.0,15.0,15.0,15.0,0
2022-12-26,15.0,15.0,15.0,15.0,0
2022-12-27,15.0,15.0,15.0,15.0,0
