date,open,high,low,close,volume
2022-12-26,1.3,1.3,1.3,1.3,0
2022-12-27,1.3,1.3,1.3,1.3,0
2022-12-28,1.3,1.3,1.3,1.3,0
2022-12-29,1.3,1.3,1.3,1.3,0
2022-12-30,1.3,1.3,1.2,1.3,700
2023-01-03,1.3,1.3,1.3,1.3,0
2023-01-04,1.3,1.3,1.3,1.3,0
2023-01-05,1.3,1.3,1.3,1.3,0
2023-01-06,1.2,1.4,1.2,1.4,15700
2023-01-09,1.3,1.3,1.3,1.3,0
2023-01-10,1.3,1.3,1.3,1.3,0
2023-01-11,1.3,1.3,1.3,1.3,0
2023-01-12,1.3,1.3,1.3,1.3,0
2023-01-13,1.4,1.4,1.3,1.3,10000
2023-01-16,1.4,1.4,1.4,1.4,0
2023-01-17,1.4,1.4,1.4,1.4,0
2023-01-18,1.4,1.4,1.4,1.4,0
2023-01-19,1.4,1.4,1.4,1.4,0
2023-01-27,1.6,1.6,1.3,1.6,8100
2023-01-30,1.5,1.5,1.5,1.5,0
2023-01-31,1.5,1.5,1.5,1.5,0
2023-02-01,1.5,1.5,1.5,1.5,0
2023-02-02,1.5,1.5,1.5,1.5,0
2023-02-03,1.5,1.5,1.3,1.3,798831
2023-02-06,1.5,1.5,1.5,1.5,0
2023-02-07,1.5,1.5,1.5,1.5,0
2023-02-08,1.5,1.5,1.5,1.5,0
2023-02-09,1.5,1.5,1.5,1.5,0
2023-02-10,1.3,1.4,1.3,1.3,14832
2023-02-13,1.3,1.3,1.3,1.3,0
2023-02-14,1.3,1.3,1.3,1.3,0
2023-02-15,1.3,1.3,1.3,1.3,0
2023-02-16,1.3,1.3,1.3,1.3,0
2023-02-17,1.2,1.2,1.2,1.2,22000
2023-02-20,1.2,1.2,1.2,1.2,0
2023-02-21,1.2,1.2,1.2,1.2,0
2023-02-22,1.2,1.2,1.2,1.2,0
2023-02-23,1.2,1.2,1.2,1.2,0
2023-02-24,1.1,1.1,1.1,1.1,21300
2023-02-27,1.1,1.1,1.1,1.1,0
2023-02-28,1.1,1.1,1.1,1.1,0
2023-03-01,1.1,1.1,1.1,1.1,0
2023-03-02,1.1,1.1,1.1,1.1,0
2023-03-03,1.0,1.0,1.0,1.0,8000
2023-03-06,1.0,1.0,1.0,1.0,0
2023-03-07,1.0,1.0,1.0,1.0,0
2023-03-08,1.0,1.0,1.0,1.0,0
2023-03-09,1.0,1.0,1.0,1.0,0
2023-03-10,0.9,0.9,0.9,0.9,19903
2023-03-13,0.9,0.9,0.9,0.9,0
2023-03-14,0.9,0.9,0.9,0.9,0
2023-03-15,0.9,0.9,0.9,0.9,0
2023-03-16,0.9,0.9,0.9,0.9,0
2023-03-17,0.8,0.8,0.8,0.8,122700
2023-03-20,0.8,0.8,0.8,0.8,0
2023-03-21,0.8,0.8,0.8,0.8,0
2023-03-22,0.8,0.8,0.8,0.8,0
2023-03-23,0.8,0.8,0.8,0.8,0
2023-03-24,0.7,0.7,0.7,0.7,73700
2023-03-27,0.7,0.7,0.7,0.7,0
2023-03-28,0.7,0.7,0.7,0.7,0
2023-03-29,0.7,0.7,0.7,0.7,0
2023-03-30,0.7,0.7,0.7,0.7,0
2023-03-31,0.6,0.8,0.6,0.8,287400
2023-04-03,0.6,0.6,0.6,0.6,0
2023-04-04,0.6,0.6,0.6,0.6,0
2023-04-05,0.6,0.6,0.6,0.6,0
2023-04-06,0.6,0.6,0.6,0.6,0
2023-04-07,0.6,0.7,0.6,0.7,187500
2023-04-10,0.7,0.7,0.7,0.7,0
2023-04-11,0.7,0.7,0.7,0.7,0
2023-04-12,0.7,0.7,0.7,0.7,0
2023-04-13,0.7,0.7,0.7,0.7,0
2023-04-14,0.7,0.8,0.6,0.7,286400
2023-04-17,0.6,0.6,0.6,0.6,0
2023-04-18,0.6,0.6,0.6,0.6,0
2023-04-19,0.6,0.6,0.6,0.6,0
2023-04-20,0.6,0.6,0.6,0.6,0
2023-04-21,0.6,0.7,0.5,0.6,212916
2023-04-24,0.5,0.5,0.5,0.5,0
2023-04-25,0.5,0.5,0.5,0.5,0
2023-04-26,0.5,0.5,0.5,0.5,0
2023-04-27,0.5,0.5,0.5,0.5,0
2023-04-28,0.5,0.6,0.5,0.5,1135149
2023-05-04,0.5,0.5,0.5,0.5,0
2023-05-05,0.6,0.6,0.5,0.5,593300
2023-05-08,0.5,0.5,0.5,0.5,0
2023-05-09,0.5,0.5,0.5,0.5,0
2023-05-10,0.5,0.5,0.5,0.5,0
2023-05-11,0.5,0.5,0.5,0.5,0
2023-05-12,0.5,0.6,0.5,0.6,1359200
2023-05-15,0.6,0.6,0.6,0.6,0
2023-05-16,0.6,0.6,0.6,0.6,0
2023-05-17,0.6,0.6,0.6,0.6,0
2023-05-18,0.6,0.6,0.6,0.6,0
2023-05-19,0.6,0.7,0.6,0.7,360700
2023-05-22,0.7,0.7,0.7,0.7,0
2023-05-23,0.7,0.7,0.7,0.7,0
2023-05-24,0.7,0.7,0.7,0.7,0
2023-05-25,0.7,0.7,0.7,0.7,0
2023-05-26,0.8,0.8,0.8,0.8,176500
2023-05-29,0.8,0.8,0.8,0.8,0
2023-05-30,0.8,0.8,0.8,0.8,0
2023-05-31,0.8,0.8,0.8,0.8,0
2023-06-01,0.8,0.8,0.8,0.8,0
2023-06-02,0.9,0.9,0.9,0.9,660200
2023-06-05,0.9,0.9,0.9,0.9,0
2023-06-06,0.9,0.9,0.9,0.9,0
2023-06-07,0.9,0.9,0.9,0.9,0
2023-06-08,0.9,0.9,0.9,0.9,0
2023-06-09,0.9,1.0,0.9,1.0,263300
2023-06-12,1.0,1.0,1.0,1.0,0
2023-06-13,1.0,1.0,1.0,1.0,0
2023-06-14,1.0,1.0,1.0,1.0,0
2023-06-15,1.0,1.0,1.0,1.0,0
2023-06-16,1.1,1.1,1.1,1.1,118800
2023-06-19,1.1,1.1,1.1,1.1,0
2023-06-20,1.1,1.1,1.1,1.1,0
2023-06-21,1.1,1.1,1.1,1.1,0
2023-06-22,1.1,1.1,1.1,1.1,0
2023-06-23,1.2,1.2,1.2,1.2,92442
2023-06-26,1.2,1.2,1.2,1.2,0
2023-06-27,1.2,1.2,1.2,1.2,0
2023-06-28,1.2,1.2,1.2,1.2,0
2023-06-29,1.2,1.2,1.2,1.2,0
2023-06-30,1.3,1.3,1.3,1.3,60600
2023-07-03,1.3,1.3,1.3,1.3,0
2023-07-04,1.3,1.3,1.3,1.3,0
2023-07-05,1.3,1.3,1.3,1.3,0
2023-07-06,1.3,1.3,1.3,1.3,0
2023-07-07,1.4,1.4,1.2,1.3,332220
2023-07-10,1.3,1.3,1.3,1.3,0
2023-07-11,1.3,1.3,1.3,1.3,0
2023-07-12,1.3,1.3,1.3,1.3,0
2023-07-13,1.3,1.3,1.3,1.3,0
2023-07-14,1.3,1.3,1.2,1.2,173450
2023-07-17,1.2,1.2,1.2,1.2,0
2023-07-18,1.2,1.2,1.2,1.2,0
2023-07-19,1.2,1.2,1.2,1.2,0
2023-07-20,1.2,1.2,1.2,1.2,0
2023-07-21,1.1,1.1,1.1,1.1,20939
2023-07-24,1.1,1.1,1.1,1.1,0
2023-07-25,1.1,1.1,1.1,1.1,0
2023-07-26,1.1,1.1,1.1,1.1,0
2023-07-27,1.1,1.1,1.1,1.1,0
2023-07-28,1.0,1.0,1.0,1.0,36900
2023-07-31,1.0,1.0,1.0,1.0,0
2023-08-01,1.0,1.0,1.0,1.0,0
2023-08-02,1.0,1.0,1.0,1.0,0
2023-08-03,1.0,1.0,1.0,1.0,0
2023-08-04,0.9,1.1,0.9,0.9,962755
2023-08-07,0.9,0.9,0.9,0.9,0
2023-08-08,0.9,0.9,0.9,0.9,0
2023-08-09,0.9,0.9,0.9,0.9,0
2023-08-10,0.9,0.9,0.9,0.9,0
2023-08-11,0.8,1.0,0.8,1.0,735890
2023-08-14,1.0,1.0,1.0,1.0,0
2023-08-15,1.0,1.0,1.0,1.0,0
2023-08-16,1.0,1.0,1.0,1.0,0
2023-08-17,1.0,1.0,1.0,1.0,0
2023-08-18,1.0,1.1,1.0,1.1,276505
2023-08-21,1.1,1.1,1.1,1.1,0
2023-08-22,1.1,1.1,1.1,1.1,0
2023-08-23,1.1,1.1,1.1,1.1,0
2023-08-24,1.1,1.1,1.1,1.1,0
2023-08-25,1.1,1.2,1.1,1.2,112404
2023-08-28,1.2,1.2,1.2,1.2,0
2023-08-29,1.2,1.2,1.2,1.2,0
2023-08-30,1.2,1.2,1.2,1.2,0
2023-08-31,1.2,1.2,1.2,1.2,0
2023-09-05,1.2,1.2,1.2,1.2,0
2023-09-06,1.2,1.2,1.2,1.2,0
2023-09-07,1.2,1.2,1.2,1.2,0
2023-09-08,1.3,1.3,1.1,1.2,78622
2023-09-11,1.2,1.2,1.2,1.2,0
2023-09-12,1.2,1.2,1.2,1.2,0
2023-09-13,1.2,1.2,1.2,1.2,0
2023-09-14,1.2,1.2,1.2,1.2,0
2023-09-15,1.2,1.3,1.1,1.3,112600
2023-09-18,1.1,1.1,1.1,1.1,0
2023-09-19,1.1,1.1,1.1,1.1,0
2023-09-20,1.1,1.1,1.1,1.1,0
2023-09-21,1.1,1.1,1.1,1.1,0
2023-09-22,1.1,1.1,1.0,1.1,61302
2023-09-25,1.0,1.0,1.0,1.0,0
2023-09-26,1.0,1.0,1.0,1.0,0
2023-09-27,1.0,1.0,1.0,1.0,0
2023-09-28,1.0,1.0,1.0,1.0,0
2023-09-29,1.1,1.1,0.9,1.1,51810
2023-10-02,0.9,0.9,0.9,0.9,0
2023-10-03,0.9,0.9,0.9,0.9,0
2023-10-04,0.9,0.9,0.9,0.9,0
2023-10-05,0.9,0.9,0.9,0.9,0
2023-10-06,1.0,1.0,1.0,1.0,110512
2023-10-09,1.0,1.0,1.0,1.0,0
2023-10-10,1.0,1.0,1.0,1.0,0
2023-10-11,1.0,1.0,1.0,1.0,0
2023-10-12,1.0,1.0,1.0,1.0,0
2023-10-13,1.0,1.1,1.0,1.1,5900
2023-10-16,1.0,1.0,1.0,1.0,0
2023-10-17,1.0,1.0,1.0,1.0,0
2023-10-18,1.0,1.0,1.0,1.0,0
2023-10-19,1.0,1.0,1.0,1.0,0
2023-10-20,0.9,1.1,0.9,0.9,152200
2023-10-23,1.0,1.0,1.0,1.0,0
2023-10-24,1.0,1.0,1.0,1.0,0
2023-10-25,1.0,1.0,1.0,1.0,0
2023-10-26,1.0,1.0,1.0,1.0,0
2023-10-27,1.0,1.0,0.9,0.9,7201
2023-10-30,1.0,1.0,1.0,1.0,0
2023-10-31,1.0,1.0,1.0,1.0,0
2023-11-01,1.0,1.0,1.0,1.0,0
2023-11-02,1.0,1.0,1.0,1.0,0
2023-11-03,1.0,1.1,1.0,1.1,1904
2023-11-06,1.1,1.1,1.1,1.1,0
2023-11-07,1.1,1.1,1.1,1.1,0
2023-11-08,1.1,1.1,1.1,1.1,0
2023-11-09,1.1,1.1,1.1,1.1,0
2023-11-10,1.0,1.1,1.0,1.1,42201
2023-11-13,1.0,1.0,1.0,1.0,0
2023-11-14,1.0,1.0,1.0,1.0,0
2023-11-15,1.0,1.0,1.0,1.0,0
2023-11-16,1.0,1.0,1.0,1.0,0
2023-11-17,0.9,1.0,0.9,1.0,274900
2023-11-20,0.9,0.9,0.9,0.9,0
2023-11-21,0.9,0.9,0.9,0.9,0
2023-11-22,0.9,0.9,0.9,0.9,0
2023-11-23,0.9,0.9,0.9,0.9,0
2023-11-24,0.9,0.9,0.8,0.8,124200
2023-11-27,0.8,0.8,0.8,0.8,0
2023-11-28,0.8,0.8,0.8,0.8,0
2023-11-29,0.8,0.8,0.8,0.8,0
2023-11-30,0.8,0.8,0.8,0.8,0
2023-12-01,0.9,0.9,0.8,0.9,18500
2023-12-04,0.8,0.8,0.8,0.8,0
2023-12-05,0.8,0.8,0.8,0.8,0
2023-12-06,0.8,0.8,0.8,0.8,0
2023-12-07,0.8,0.8,0.8,0.8,0
2023-12-08,0.9,0.9,0.7,0.8,50100
2023-12-11,0.7,0.7,0.7,0.7,0
2023-12-12,0.7,0.7,0.7,0.7,0
2023-12-13,0.7,0.7,0.7,0.7,0
2023-12-14,0.7,0.7,0.7,0.7,0
2023-12-15,0.7,0.8,0.6,0.8,30803
2023-12-18,0.7,0.7,0.7,0.7,0
2023-12-19,0.7,0.7,0.7,0.7,0
2023-12-20,0.7,0.7,0.7,0.7,0
2023-12-21,0.7,0.7,0.7,0.7,0
2023-12-22,0.7,0.8,0.7,0.8,31000
2023-12-25,0.8,0.8,0.8,0.8,0
2023-12-26,0.8,0.8,0.8,0.8,0
2023-12-27,0.8,0.8,0.8,0.8,0
2023-12-28,0.8,0.8,0.8,0.8,0
2023-12-29,0.8,0.9,0.8,0.9,17900
2024-01-02,0.9,0.9,0.9,0.9,0
2024-01-03,0.9,0.9,0.9,0.9,0
2024-01-04,0.9,0.9,0.9,0.9,0
2024-01-05,0.8,0.9,0.8,0.9,89500
2024-01-08,0.8,0.8,0.8,0.8,0
2024-01-09,0.8,0.8,0.8,0.8,0
2024-01-10,0.8,0.8,0.8,0.8,0
2024-01-11,0.8,0.8,0.8,0.8,0
2024-01-12,0.8,0.9,0.7,0.9,12400
2024-01-15,0.8,0.8,0.8,0.8,0
2024-01-16,0.8,0.8,0.8,0.8,0
2024-01-17,0.8,0.8,0.8,0.8,0
2024-01-18,0.8,0.8,0.8,0.8,0
2024-01-19,0.8,0.8,0.8,0.8,21000
2024-01-22,0.8,0.8,0.8,0.8,0
2024-01-23,0.8,0.8,0.8,0.8,0
2024-01-24,0.8,0.8,0.8,0.8,0
2024-01-25,0.8,0.8,0.8,0.8,0
2024-01-26,0.8,0.8,0.8,0.8,43400
2024-01-29,0.8,0.8,0.8,0.8,0
2024-01-30,0.8,0.8,0.8,0.8,0
2024-01-31,0.8,0.8,0.8,0.8,0
2024-02-01,0.8,0.8,0.8,0.8,0
2024-02-02,0.8,0.9,0.8,0.8,50200
2024-02-05,0.8,0.8,0.8,0.8,0
2024-02-06,0.8,0.8,0.8,0.8,0
2024-02-07,0.8,0.8,0.8,0.8,0
2024-02-15,0.8,0.8,0.8,0.8,0
2024-02-16,0.9,0.9,0.8,0.8,54100
2024-02-19,0.8,0.8,0.8,0.8,0
2024-02-20,0.8,0.8,0.8,0.8,0
2024-02-21,0.8,0.8,0.8,0.8,0
2024-02-22,0.8,0.8,0.8,0.8,0
2024-02-23,0.8,0.8,0.8,0.8,15400
2024-02-26,0.8,0.8,0.8,0.8,0
2024-02-27,0.8,0.8,0.8,0.8,0
2024-02-28,0.8,0.8,0.8,0.8,0
2024-02-29,0.8,0.8,0.8,0.8,0
2024-03-01,0.8,0.9,0.8,0.9,37200
2024-03-04,0.8,0.8,0.8,0.8,0
2024-03-05,0.8,0.8,0.8,0.8,0
2024-03-06,0.8,0.8,0.8,0.8,0
2024-03-07,0.8,0.8,0.8,0.8,0
2024-03-08,0.8,0.8,0.7,0.7,43900
2024-03-11,0.7,0.7,0.7,0.7,0
2024-03-12,0.7,0.7,0.7,0.7,0
2024-03-13,0.7,0.7,0.7,0.7,0
2024-03-14,0.7,0.7,0.7,0.7,0
2024-03-15,0.7,0.8,0.7,0.8,49582
2024-03-18,0.7,0.7,0.7,0.7,0
2024-03-19,0.7,0.7,0.7,0.7,0
2024-03-20,0.7,0.7,0.7,0.7,0
2024-03-21,0.7,0.7,0.7,0.7,0
2024-03-22,0.7,0.8,0.7,0.7,82100
2024-03-25,0.7,0.7,0.7,0.7,0
2024-03-26,0.7,0.7,0.7,0.7,0
2024-03-27,0.7,0.7,0.7,0.7,0
2024-03-28,0.7,0.7,0.7,0.7,0
2024-03-29,0.8,0.8,0.7,0.7,132900
2024-04-01,0.7,0.7,0.7,0.7,0
2024-04-02,0.7,0.7,0.7,0.7,0
2024-04-03,0.7,0.7,0.7,0.7,0
2024-04-04,0.7,0.7,0.7,0.7,0
2024-04-05,0.7,0.7,0.6,0.6,175700
2024-04-08,0.6,0.6,0.6,0.6,0
2024-04-09,0.6,0.6,0.6,0.6,0
2024-04-10,0.6,0.6,0.6,0.6,0
2024-04-11,0.6,0.6,0.6,0.6,0
2024-04-12,0.7,0.7,0.7,0.7,6800
2024-04-15,0.7,0.7,0.7,0.7,0
2024-04-16,0.7,0.7,0.7,0.7,0
2024-04-17,0.7,0.7,0.7,0.7,0
2024-04-19,0.6,0.7,0.6,0.6,118622
2024-04-22,0.7,0.7,0.7,0.7,0
2024-04-23,0.7,0.7,0.7,0.7,0
2024-04-24,0.7,0.7,0.7,0.7,0
2024-04-25,0.7,0.7,0.7,0.7,0
2024-04-26,0.6,0.8,0.6,0.7,44600
2024-05-02,0.6,0.6,0.6,0.6,0
2024-05-03,0.7,0.7,0.7,0.7,27003
2024-05-06,0.7,0.7,0.7,0.7,0
2024-05-07,0.7,0.7,0.7,0.7,0
2024-05-08,0.7,0.7,0.7,0.7,0
2024-05-09,0.7,0.7,0.7,0.7,0
2024-05-10,0.7,0.8,0.6,0.8,37500
2024-05-13,0.7,0.7,0.7,0.7,0
2024-05-14,0.7,0.7,0.7,0.7,0
2024-05-15,0.7,0.7,0.7,0.7,0
2024-05-16,0.7,0.7,0.7,0.7,0
2024-05-17,0.7,0.7,0.6,0.6,101605
2024-05-20,0.6,0.6,0.6,0.6,0
2024-05-21,0.6,0.6,0.6,0.6,0
2024-05-22,0.6,0.6,0.6,0.6,0
2024-05-23,0.6,0.6,0.6,0.6,0
2024-05-24,0.6,0.7,0.5,0.6,34820
2024-05-27,0.6,0.6,0.6,0.6,0
2024-05-28,0.6,0.6,0.6,0.6,0
2024-05-29,0.6,0.6,0.6,0.6,0
2024-05-30,0.6,0.6,0.6,0.6,0
2024-05-31,0.5,0.6,0.5,0.6,145650
2024-06-03,0.5,0.5,0.5,0.5,0
2024-06-04,0.5,0.5,0.5,0.5,0
2024-06-05,0.5,0.5,0.5,0.5,0
2024-06-06,0.5,0.5,0.5,0.5,0
2024-06-07,0.5,0.5,0.5,0.5,0
2024-06-10,0.5,0.5,0.5,0.5,0
2024-06-11,0.5,0.5,0.5,0.5,0
2024-06-12,0.5,0.5,0.5,0.5,0
2024-06-13,0.5,0.5,0.5,0.5,0
2024-06-14,0.5,0.5,0.5,0.5,0
2024-06-17,0.5,0.5,0.5,0.5,0
2024-06-18,0.5,0.5,0.5,0.5,0
2024-06-19,0.5,0.5,0.5,0.5,0
2024-06-20,0.5,0.5,0.5,0.5,0
2024-06-21,0.5,0.5,0.5,0.5,0
2024-06-24,0.5,0.5,0.5,0.5,0
2024-06-25,0.5,0.5,0.5,0.5,0
2024-06-26,0.5,0.5,0.5,0.5,0
2024-06-27,0.5,0.5,0.5,0.5,0
2024-06-28,0.5,0.5,0.5,0.5,0
2024-07-01,0.5,0.5,0.5,0.5,0
2024-07-02,0.5,0.5,0.5,0.5,0
2024-07-03,0.5,0.5,0.5,0.5,0
2024-07-04,0.5,0.5,0.5,0.5,0
2024-07-05,0.5,0.5,0.5,0.5,0
2024-07-08,0.5,0.5,0.5,0.5,0
2024-07-09,0.5,0.5,0.5,0.5,0
2024-07-10,0.5,0.5,0.5,0.5,0
2024-07-11,0.5,0.5,0.5,0.5,0
2024-07-12,0.5,0.5,0.5,0.5,0
2024-07-15,0.5,0.5,0.5,0.5,0
2024-07-16,0.5,0.5,0.5,0.5,0
2024-07-17,0.5,0.5,0.5,0.5,0
2024-07-18,0.5,0.5,0.5,0.5,0
2024-07-19,0.5,0.5,0.5,0.5,0
2024-07-22,0.5,0.5,0.5,0.5,0
2024-07-23,0.5,0.5,0.5,0.5,0
2024-07-24,0.5,0.5,0.5,0.5,0
2024-07-25,0.5,0.5,0.5,0.5,0
2024-07-26,0.5,0.5,0.5,0.5,0.0
2024-07-29,0.5,0.5,0.5,0.5,0.0
2024-07-30,0.5,0.5,0.5,0.5,0.0
2024-07-31,0.5,0.5,0.5,0.5,0.0
2024-08-01,0.5,0.5,0.5,0.5,0.0
2024-08-02,0.5,0.5,0.5,0.5,0.0
2024-08-05,0.5,0.5,0.5,0.5,0.0
2024-08-06,0.5,0.5,0.5,0.5,0.0
2024-08-07,0.5,0.5,0.5,0.5,0.0
2024-08-08,0.5,0.5,0.5,0.5,0.0
2024-08-09,0.5,0.5,0.5,0.5,0.0
2024-08-12,0.5,0.5,0.5,0.5,0.0
2024-08-13,0.5,0.5,0.5,0.5,0.0
2024-08-14,0.5,0.5,0.5,0.5,0.0
2024-08-15,0.5,0.5,0.5,0.5,0.0
2024-08-16,0.5,0.5,0.5,0.5,0.0
2024-08-19,0.5,0.5,0.5,0.5,0.0
2024-08-20,0.5,0.5,0.5,0.5,0.0
2024-08-21,0.5,0.5,0.5,0.5,0.0
2024-08-22,0.5,0.5,0.5,0.5,0.0
2024-08-23,0.5,0.5,0.5,0.5,0.0
2024-08-26,0.5,0.5,0.5,0.5,0.0
2024-08-27,0.5,0.5,0.5,0.5,0.0
2024-08-28,0.5,0.5,0.5,0.5,0.0
2024-08-29,0.5,0.5,0.5,0.5,0.0
2024-08-30,0.5,0.5,0.5,0.5,0.0
2024-09-04,0.5,0.5,0.5,0.5,0.0
2024-09-05,0.5,0.5,0.5,0.5,0.0
