date,open,high,low,close,volume
2023-06-15,14.05,14.05,10.06,13.96,24600
2023-06-16,12.05,12.32,12.05,12.32,700
2023-06-19,10.87,10.87,10.33,10.33,2000
2023-06-20,11.6,11.78,10.87,10.87,5400
2023-06-21,11.69,11.69,11.69,11.69,0
2023-06-22,9.97,9.97,9.97,9.97,1000
2023-06-23,10.87,10.87,9.97,10.15,1800
2023-06-26,10.15,10.15,8.79,9.06,5300
2023-06-27,8.25,9.06,7.88,7.88,2600
2023-06-28,8.43,8.43,8.43,8.43,100
2023-06-29,8.43,8.43,8.43,8.43,500
2023-06-30,8.43,8.52,8.43,8.43,3300
2023-07-03,8.52,8.52,8.52,8.52,500
2023-07-04,8.25,8.34,8.16,8.34,1400
2023-07-05,8.43,8.97,8.34,8.97,8900
2023-07-06,9.06,9.33,9.06,9.33,6300
2023-07-07,9.97,10.42,9.06,9.06,5000
2023-07-10,10.78,10.78,9.24,9.24,3900
2023-07-11,9.52,9.52,9.24,9.24,1500
2023-07-12,9.33,9.52,9.33,9.52,11200
2023-07-13,9.52,9.52,9.52,9.52,1100
2023-07-14,10.1,10.1,9.23,9.23,1300
2023-07-17,8.94,8.94,8.74,8.74,3900
2023-07-18,8.74,10.01,8.74,10.01,8700
2023-07-19,10.49,10.49,9.23,9.23,2800
2023-07-20,11.27,11.27,10.3,10.49,7228
2023-07-21,12.05,12.05,12.05,12.05,109
2023-07-24,12.05,12.05,10.3,10.3,8401
2023-07-25,10.49,10.49,10.3,10.39,1000
2023-07-26,10.1,10.1,10.1,10.1,137
2023-07-27,10.2,10.2,8.94,9.71,7600
2023-07-28,9.23,9.23,9.23,9.23,3000
2023-07-31,8.94,9.23,8.94,9.23,2300
2023-08-01,9.23,9.23,9.13,9.23,1700
2023-08-02,9.23,9.23,9.23,9.23,0
2023-08-03,9.23,9.23,9.23,9.23,300
2023-08-04,9.23,9.23,9.13,9.23,2400
2023-08-07,9.23,9.23,9.23,9.23,1
2023-08-08,7.87,9.23,7.87,9.23,1200
2023-08-09,9.23,9.23,9.23,9.23,400
2023-08-10,10.59,10.59,9.23,9.23,1000
2023-08-11,8.74,8.74,7.97,8.74,5800
2023-08-14,9.42,9.42,8.74,8.74,2100
2023-08-15,8.65,8.65,8.55,8.55,2800
2023-08-16,7.97,9.33,7.67,9.33,7800
2023-08-17,8.94,8.94,8.94,8.94,100
2023-08-18,7.97,7.97,7.77,7.77,2800
2023-08-21,7.67,7.87,7.67,7.87,900
2023-08-22,7.97,7.97,7.97,7.97,300
2023-08-23,7.97,7.97,7.97,7.97,300
2023-08-24,7.97,7.97,7.97,7.97,0
2023-08-25,9.13,9.13,8.74,8.74,430
2023-08-28,8.84,8.84,7.97,7.97,705
2023-08-29,8.65,8.65,8.65,8.65,0
2023-08-30,8.35,8.35,7.97,8.35,1705
2023-08-31,8.16,8.16,8.06,8.06,2200
2023-09-05,8.16,8.16,8.16,8.16,101
2023-09-06,8.16,8.16,8.16,8.16,1310
2023-09-07,8.16,8.16,8.16,8.16,0
2023-09-08,8.16,8.16,8.16,8.16,0
2023-09-11,8.16,8.16,8.16,8.16,2
2023-09-12,8.26,8.26,8.26,8.26,118
2023-09-13,8.16,8.16,8.16,8.16,400
2023-09-14,8.16,8.16,8.16,8.16,0
2023-09-15,8.16,8.16,8.16,8.16,0
2023-09-18,8.16,8.16,8.16,8.16,0
2023-09-19,8.16,8.16,8.16,8.16,0
2023-09-20,7.58,7.58,7.58,7.58,300
2023-09-21,8.65,8.65,8.65,8.65,100
2023-09-22,8.65,8.65,8.65,8.65,0
2023-09-25,8.65,8.65,8.65,8.65,1
2023-09-26,8.65,8.65,8.65,8.65,0
2023-09-27,8.65,8.65,8.65,8.65,0
2023-09-28,8.65,8.65,8.65,8.65,0
2023-09-29,8.65,8.65,8.65,8.65,0
2023-10-02,8.55,8.55,8.55,8.55,200
2023-10-03,7.29,7.29,7.29,7.29,300
2023-10-04,8.35,8.35,8.35,8.35,200
2023-10-05,8.26,8.35,8.26,8.35,500
2023-10-06,8.06,8.06,8.06,8.06,100
2023-10-09,8.06,8.06,8.06,8.06,0
2023-10-10,8.06,8.06,8.06,8.06,0
2023-10-11,8.06,8.06,8.06,8.06,0
2023-10-12,6.9,7.19,6.9,7.19,1200
2023-10-13,7.19,7.19,7.19,7.19,1
2023-10-16,7.19,7.19,7.19,7.19,0
2023-10-17,7.29,7.29,7.19,7.29,300
2023-10-18,7.29,7.29,7.29,7.29,0
2023-10-19,7.29,7.29,7.29,7.29,0
2023-10-20,7.29,7.29,7.29,7.29,500
2023-10-23,7.29,7.29,7.29,7.29,0
2023-10-24,7.29,7.29,7.29,7.29,0
2023-10-25,7.29,7.29,7.29,7.29,0
2023-10-26,7.29,7.29,7.29,7.29,0
2023-10-27,7.29,7.29,7.29,7.29,0
2023-10-30,6.22,6.99,6.22,6.99,1200
2023-10-31,6.9,6.9,6.9,6.9,0
2023-11-01,6.9,6.9,6.9,6.9,0
2023-11-02,6.9,6.9,6.9,6.9,0
2023-11-03,6.9,6.9,6.9,6.9,0
2023-11-06,7.19,7.77,7.19,7.77,400
2023-11-07,7.77,7.77,7.77,7.77,201
2023-11-08,8.94,8.94,8.74,8.74,900
2023-11-09,9.13,9.13,9.13,9.13,100
2023-11-10,9.13,9.13,9.13,9.13,100
2023-11-13,9.13,9.13,9.13,9.13,101
2023-11-14,9.13,9.13,9.13,9.13,0
2023-11-15,10.39,10.39,10.39,10.39,100
2023-11-16,9.13,9.13,9.13,9.13,300
2023-11-17,9.13,9.13,9.13,9.13,0
2023-11-20,7.77,7.77,7.77,7.77,2700
2023-11-21,7.77,7.77,7.77,7.77,0
2023-11-22,6.8,6.8,6.8,6.8,300
2023-11-23,6.8,6.8,6.8,6.8,0
2023-11-24,6.8,6.8,6.8,6.8,0
2023-11-27,6.8,6.8,6.8,6.8,0
2023-11-28,6.8,6.8,6.8,6.8,0
2023-11-29,6.8,6.8,6.8,6.8,0
2023-11-30,6.8,6.8,6.8,6.8,1
2023-12-01,6.8,6.8,6.8,6.8,0
2023-12-04,7.77,7.77,7.77,7.77,300
2023-12-05,7.77,7.77,7.77,7.77,0
2023-12-06,7.77,7.77,7.77,7.77,0
2023-12-07,7.77,7.77,7.77,7.77,0
2023-12-08,7.77,7.77,7.77,7.77,800
2023-12-11,7.58,7.58,7.29,7.29,1300
2023-12-12,7.29,7.29,7.29,7.29,100
2023-12-13,7.29,7.29,7.29,7.29,0
2023-12-14,7.29,7.29,7.29,7.29,100
2023-12-15,7.29,7.29,7.29,7.29,1600
2023-12-18,7.29,7.29,7.29,7.29,0
2023-12-19,6.8,6.8,6.8,6.8,2500
2023-12-20,6.8,6.8,5.93,5.93,1900
2023-12-21,6.8,6.8,6.8,6.8,100
2023-12-22,6.8,6.8,6.61,6.61,1300
2023-12-25,6.7,7.58,6.7,7.58,600
2023-12-26,8.26,8.26,8.26,8.26,100
2023-12-27,8.26,9.42,8.26,9.42,1900
2023-12-28,8.65,9.71,8.65,9.71,2710
2023-12-29,9.42,9.42,9.42,9.42,33
2024-01-02,9.42,9.42,9.42,9.42,0
2024-01-03,9.13,9.13,9.13,9.13,200
2024-01-04,7.77,7.87,7.77,7.87,1702
2024-01-05,7.77,7.77,7.77,7.77,0
2024-01-08,7.77,7.77,7.77,7.77,0
2024-01-09,7.48,7.48,7.48,7.48,300
2024-01-10,7.48,7.48,7.48,7.48,0
2024-01-11,7.48,7.48,7.48,7.48,0
2024-01-12,8.55,8.55,8.55,8.55,100
2024-01-15,8.55,8.55,8.55,8.55,0
2024-01-16,8.35,8.35,8.35,8.35,100
2024-01-17,8.35,8.35,8.35,8.35,0
2024-01-18,8.26,8.26,8.26,8.26,100
2024-01-19,8.26,8.45,8.26,8.45,900
2024-01-22,8.26,8.26,8.26,8.26,0
2024-01-23,8.26,8.26,8.26,8.26,800
2024-01-24,8.26,8.26,8.26,8.26,100
2024-01-25,8.26,8.74,8.26,8.26,400
2024-01-26,8.55,8.55,8.55,8.55,200
2024-01-29,8.74,8.74,8.74,8.74,1000
2024-01-30,8.65,8.74,8.65,8.74,1000
2024-01-31,8.74,8.74,8.74,8.74,0
2024-02-01,8.65,8.65,8.65,8.65,400
2024-02-02,8.65,8.65,8.65,8.65,0
2024-02-05,8.65,8.65,8.65,8.65,0
2024-02-06,8.65,8.65,8.65,8.65,0
2024-02-07,8.65,8.65,8.65,8.65,0
2024-02-15,8.65,8.65,8.65,8.65,300
2024-02-16,8.65,8.65,8.65,8.65,0
2024-02-19,8.65,8.65,8.65,8.65,0
2024-02-20,8.65,8.65,8.65,8.65,0
2024-02-21,8.65,8.65,8.65,8.65,0
2024-02-22,8.65,8.65,8.65,8.65,200
2024-02-23,8.65,8.65,8.65,8.65,0
2024-02-26,8.65,8.65,8.65,8.65,0
2024-02-27,8.65,8.65,8.65,8.65,0
2024-02-28,8.65,8.65,8.65,8.65,0
2024-02-29,8.65,8.65,8.65,8.65,0
2024-03-01,8.65,8.65,8.65,8.65,2
2024-03-04,8.65,8.65,8.65,8.65,1
2024-03-05,8.65,8.65,8.65,8.65,0
2024-03-06,8.74,8.74,8.74,8.74,110
2024-03-07,8.74,8.74,8.74,8.74,100
2024-03-08,8.74,8.74,8.74,8.74,1
2024-03-11,8.74,8.74,8.74,8.74,34
2024-03-12,8.74,8.74,8.74,8.74,0
2024-03-13,8.74,8.74,8.74,8.74,0
2024-03-14,8.65,8.65,8.65,8.65,200
2024-03-15,8.65,8.65,8.65,8.65,100
2024-03-18,8.74,8.74,8.74,8.74,100
2024-03-19,8.74,8.74,8.74,8.74,100
2024-03-20,8.65,8.74,8.65,8.65,600
2024-03-21,8.55,8.55,8.55,8.55,1000
2024-03-22,8.55,8.55,8.55,8.55,0
2024-03-25,8.55,8.55,8.55,8.55,1002
2024-03-26,8.55,8.55,8.55,8.55,0
2024-03-27,8.55,8.55,8.55,8.55,0
2024-03-28,8.55,8.55,8.26,8.26,1932
2024-03-29,8.35,8.35,8.35,8.35,0
2024-04-01,8.74,8.74,8.74,8.74,800
2024-04-02,8.65,8.65,8.65,8.65,615
2024-04-03,8.35,8.45,8.35,8.45,5100
2024-04-04,8.26,8.26,8.26,8.26,615
2024-04-05,8.35,8.35,8.35,8.35,501
2024-04-08,8.35,8.45,8.35,8.45,400
2024-04-09,8.84,8.84,8.84,8.84,1017
2024-04-10,8.84,8.84,8.84,8.84,0
2024-04-11,8.74,8.74,8.74,8.74,2000
2024-04-12,8.74,8.74,8.74,8.74,2001
2024-04-15,8.35,8.35,8.35,8.35,3401
2024-04-16,8.35,8.35,8.35,8.35,4300
2024-04-17,8.35,8.35,8.35,8.35,500
2024-04-19,8.35,8.35,8.35,8.35,1900
2024-04-22,8.35,8.35,8.35,8.35,0
2024-04-23,8.35,8.35,8.35,8.35,0
2024-04-24,8.35,8.35,8.35,8.35,0
2024-04-25,8.35,8.35,8.35,8.35,1300
2024-04-26,8.35,8.35,8.35,8.35,500
2024-05-02,8.35,8.35,8.35,8.35,0
2024-05-03,8.35,8.35,8.35,8.35,0
2024-05-06,8.35,8.35,8.35,8.35,0
2024-05-07,8.35,8.35,8.35,8.35,0
2024-05-08,8.35,8.35,8.35,8.35,0
2024-05-09,8.35,8.35,8.35,8.35,0
2024-05-10,8.35,8.35,8.35,8.35,3950
2024-05-13,8.35,8.35,8.35,8.35,0
2024-05-14,8.35,8.35,8.35,8.35,0
2024-05-15,8.35,8.35,8.35,8.35,0
2024-05-16,8.35,8.35,8.35,8.35,0
2024-05-17,8.35,8.35,8.35,8.35,0
2024-05-20,8.35,8.35,8.35,8.35,4000
2024-05-21,8.35,8.35,8.35,8.35,500
2024-05-22,8.35,8.35,8.35,8.35,0
2024-05-23,8.55,8.55,8.55,8.55,100
2024-05-24,8.16,8.16,8.16,8.16,1400
2024-05-27,8.65,8.65,8.16,8.16,300
2024-05-28,8.16,8.16,8.16,8.16,100
2024-05-29,8.35,8.35,8.35,8.35,2203
2024-05-30,8.35,8.35,8.35,8.35,2000
2024-05-31,8.35,8.35,8.35,8.35,0
2024-06-03,8.35,8.35,8.35,8.35,2000
2024-06-04,8.35,8.35,8.35,8.35,0
2024-06-05,8.35,8.35,8.35,8.35,0
2024-06-06,8.45,8.45,8.45,8.45,100
2024-06-07,8.45,8.45,8.45,8.45,13
2024-06-10,8.45,8.45,8.45,8.45,0
2024-06-11,8.35,8.35,8.35,8.35,402
2024-06-12,8.35,8.35,8.35,8.35,500
2024-06-13,8.35,8.35,8.35,8.35,600
2024-06-14,8.45,8.45,8.35,8.35,2000
2024-06-17,8.35,8.35,8.35,8.35,2001
2024-06-18,8.35,8.35,8.35,8.35,0
2024-06-19,8.35,8.35,8.35,8.35,0
2024-06-20,8.35,8.35,8.35,8.35,0
2024-06-21,8.35,8.35,8.35,8.35,1000
2024-06-24,8.35,8.35,8.35,8.35,0
2024-06-25,8.35,8.35,8.35,8.35,1
2024-06-26,8.55,8.55,8.55,8.55,1100
2024-06-27,8.55,8.55,8.55,8.55,0
2024-06-28,8.55,8.55,8.55,8.55,0
2024-07-01,8.55,8.55,8.55,8.55,0
2024-07-02,8.55,8.55,8.55,8.55,100
2024-07-03,8.55,8.55,8.55,8.55,0
2024-07-04,8.55,8.55,8.55,8.55,201
2024-07-05,8.55,8.55,8.55,8.55,1
2024-07-08,8.35,8.35,8.35,8.35,800
2024-07-09,8.35,8.35,8.35,8.35,0
2024-07-10,8.35,8.35,8.35,8.35,0
2024-07-11,8.35,8.35,8.35,8.35,0
2024-07-12,8.35,8.35,8.35,8.35,0
2024-07-15,8.45,8.45,8.45,8.45,100
2024-07-16,8.35,8.35,8.35,8.35,1000
2024-07-17,8.35,8.35,8.35,8.35,600
2024-07-18,8.35,8.35,8.35,8.35,400
2024-07-19,8.35,8.35,8.35,8.35,0
2024-07-22,8.35,8.35,8.35,8.35,0
2024-07-23,8.35,8.35,8.35,8.35,0
2024-07-24,8.35,8.35,8.35,8.35,0
2024-07-25,8.35,8.35,8.35,8.35,4002
2024-07-26,8.35,8.35,8.35,8.35,0
2024-07-29,8.35,8.35,8.35,8.35,0
2024-07-30,7.19,7.19,7.19,7.19,300
2024-07-31,8.26,8.26,7.19,7.19,80101
2024-08-01,7.19,7.19,7.19,7.19,2
2024-08-02,7.19,7.19,7.19,7.19,0
2024-08-05,7.19,7.19,7.19,7.19,0
2024-08-06,7.19,7.19,7.19,7.19,0
2024-08-07,7.19,7.19,7.19,7.19,0
2024-08-08,7.19,7.19,7.19,7.19,0
2024-08-09,7.19,7.19,7.19,7.19,302
2024-08-12,7.19,7.19,7.19,7.19,0
2024-08-13,7.19,7.19,7.19,7.19,0
2024-08-14,7.19,7.19,7.19,7.19,0
2024-08-15,7.19,7.19,7.19,7.19,0
2024-08-16,7.19,7.19,7.19,7.19,0
2024-08-19,7.19,7.19,7.19,7.19,0
2024-08-20,7.19,7.19,7.19,7.19,0
2024-08-21,8.26,8.26,8.26,8.26,201
2024-08-22,8.26,9.33,8.26,9.33,421
2024-08-23,9.03,9.03,9.03,9.03,0
2024-08-26,9.03,9.03,9.03,9.03,0
2024-08-27,9.03,9.03,9.03,9.03,0
2024-08-28,9.03,9.03,9.03,9.03,0
2024-08-29,9.03,9.03,9.03,9.03,0
2024-08-30,7.77,7.77,7.77,7.77,101
2024-09-04,7.29,7.29,7.29,7.29,100
2024-09-05,6.31,6.31,6.31,6.31,101
2024-09-06,7.19,7.19,7.19,7.19,200
2024-09-09,6.22,6.22,6.12,6.12,413
2024-09-10,5.93,5.93,5.83,5.83,560000
2024-09-11,6.7,6.7,5.83,5.83,302
2024-09-12,6.8,6.8,6.8,6.8,100
2024-09-13,6.8,6.8,6.8,6.8,0
2024-09-16,7.29,7.29,7.29,7.29,100
2024-09-17,7.29,7.29,7.29,7.29,200
2024-09-18,7.29,7.29,7.29,7.29,0
2024-09-19,6.8,6.8,6.8,6.8,200
2024-09-20,6.9,6.9,6.9,6.9,100
2024-09-23,6.9,6.9,6.9,6.9,0
2024-09-24,7.67,7.67,7.67,7.67,200
2024-09-25,7.67,7.67,7.67,7.67,2
2024-09-26,6.8,6.8,6.8,6.8,702
2024-09-27,6.8,6.8,6.8,6.8,0
2024-09-30,6.8,6.8,6.8,6.8,0
2024-10-01,6.8,6.8,6.8,6.8,0
2024-10-02,7.19,7.19,7.19,7.19,700
2024-10-03,7.19,7.19,7.19,7.19,0
2024-10-04,7.19,7.19,7.19,7.19,0
2024-10-07,7.19,7.19,7.19,7.19,1
2024-10-08,7.19,7.19,7.19,7.19,0
2024-10-09,6.8,6.8,6.8,6.8,100
2024-10-10,7.8,7.8,7.8,7.8,200
2024-10-11,7.8,7.8,7.8,7.8,0
2024-10-14,7.8,7.8,7.8,7.8,0
2024-10-15,7.8,7.8,7.8,7.8,0
2024-10-16,7.0,7.0,7.0,7.0,1000
2024-10-17,7.0,7.0,7.0,7.0,0
2024-10-18,7.9,7.9,7.9,7.9,200
2024-10-21,7.9,7.9,7.9,7.9,35
2024-10-22,8.0,8.0,8.0,8.0,1900
2024-10-23,8.0,8.0,8.0,8.0,2300
2024-10-25,7.9,7.9,7.9,7.9,4000
2024-10-31,7.9,7.9,7.9,7.9,5000
2024-11-11,7.9,7.9,7.9,7.9,3500
2024-11-26,8.9,8.9,8.9,8.9,100
2024-12-18,8.0,8.0,8.0,8.0,1000
2024-12-23,8.4,8.4,8.4,8.4,100
2024-12-24,8.8,9.0,8.8,9.0,200
2024-12-27,9.0,9.0,9.0,9.0,100
2024-12-30,10.3,10.3,9.0,9.0,200
2024-12-31,11.0,11.0,9.0,9.7,600
2025-01-02,9.6,9.6,9.6,9.6,100
2025-01-20,9.6,10.2,9.6,10.2,200
2025-02-03,10.0,10.0,10.0,10.0,100
2025-03-06,8.6,9.0,8.6,9.0,2200
2025-03-12,8.0,8.0,8.0,8.0,2000
2025-03-14,7.5,7.5,7.5,7.5,1000
2025-03-24,7.5,7.5,7.5,7.5,500
2025-03-25,7.6,7.6,7.6,7.6,700
2025-03-27,7.5,7.5,7.5,7.5,2200
2025-03-31,7.5,7.5,7.5,7.5,2000
2025-04-01,7.5,7.5,7.5,7.5,2000
2025-04-02,7.5,7.5,7.5,7.5,1000
2025-04-04,7.0,7.0,7.0,7.0,4000
2025-04-10,7.0,7.0,7.0,7.0,1000
2025-04-14,7.0,7.0,7.0,7.0,1300
2025-04-15,7.5,7.5,7.5,7.5,300
