date,open,high,low,close,volume
2025-03-04,18.59,18.69,18.45,18.59,19240182
2025-03-05,18.59,18.84,18.5,18.5,16033232
2025-03-06,18.55,18.84,18.55,18.64,20894312
2025-03-07,18.69,18.93,18.64,18.74,20720845
2025-03-10,18.89,19.13,18.79,18.89,34128394
2025-03-11,18.74,19.23,18.69,19.18,37549421
2025-03-12,19.28,19.28,18.98,19.08,27178222
2025-03-13,19.13,19.13,18.69,18.74,16162010
2025-03-14,18.79,19.08,18.69,19.08,17677069
2025-03-17,19.23,19.86,19.08,19.66,71559132
2025-03-18,19.71,19.76,19.28,19.28,25983908
2025-03-19,19.23,19.23,18.89,18.93,29446445
2025-03-20,19.08,19.18,18.89,19.08,18744394
2025-03-21,19.08,19.13,18.89,18.98,9372635
2025-03-24,18.98,19.13,18.74,19.08,16809872
2025-03-25,19.13,19.18,18.93,18.98,11789548
2025-03-26,18.98,19.13,18.79,18.84,9458002
2025-03-27,18.74,18.93,18.74,18.74,6693042
2025-03-28,18.74,18.89,18.69,18.74,11137370
2025-03-31,18.64,18.74,18.5,18.5,14768166
2025-04-01,18.64,18.69,18.5,18.64,8730956
2025-04-02,18.64,18.84,18.59,18.64,11404390
2025-04-03,17.72,18.06,17.38,17.38,40627745
2025-04-04,16.35,16.99,16.21,16.99,46818260
2025-04-08,16.55,16.74,15.82,15.82,24712494
2025-04-09,14.8,16.06,14.75,15.53,56116778
2025-04-10,16.6,16.6,16.6,16.6,1667054
2025-04-11,16.55,17.18,16.35,16.99,60050331
2025-04-14,17.04,17.23,16.79,16.84,28910239
2025-04-15,16.74,16.79,16.4,16.45,19621779
2025-04-16,16.4,16.55,16.26,16.35,13826737
2025-04-17,16.35,16.35,15.92,16.11,21621462
2025-04-18,16.21,16.79,16.21,16.5,16485170
2025-04-21,16.45,16.6,16.26,16.26,12085528
2025-04-22,16.16,16.35,15.14,16.16,30680838
2025-04-23,16.55,16.55,16.26,16.26,10958346
2025-04-24,16.35,16.5,16.21,16.21,12825015
2025-04-25,16.26,16.31,16.01,16.06,24812094
2025-04-28,16.26,16.26,16.06,16.11,9941576
2025-04-29,16.16,16.26,16.06,16.11,14258755
2025-05-05,16.26,16.31,16.06,16.16,7596393
2025-05-06,16.26,16.74,16.21,16.45,25322481
2025-05-07,16.5,16.55,16.35,16.55,10239675
2025-05-08,16.6,16.74,16.5,16.55,15417342
2025-05-09,16.65,16.79,16.45,16.55,17698895
2025-05-12,16.65,16.99,16.5,16.89,36537005
2025-05-13,17.18,17.23,16.99,17.23,27758850
2025-05-14,17.33,18.4,17.28,18.4,95597129
2025-05-15,18.65,18.8,18.25,18.55,55088144
2025-05-16,18.35,18.7,18.05,18.05,37991194
2025-05-19,18.0,18.85,17.8,18.2,64660215
2025-05-20,18.2,18.55,18.15,18.2,27844769
2025-05-21,18.3,18.8,18.25,18.45,68316753
2025-05-22,18.5,18.7,18.2,18.3,40944806
2025-05-23,18.25,18.35,18.1,18.1,14940728
2025-05-26,18.1,18.2,17.3,18.15,24591056
2025-05-27,18.15,18.3,18.05,18.1,22992680
2025-05-28,18.2,18.3,18.0,18.0,13063100
2025-05-29,18.1,18.55,18.0,18.15,46408000
2025-05-30,18.25,18.3,17.9,17.95,11859100
2025-06-02,17.95,18.15,17.8,18.0,13488800
2025-06-03,18.1,18.4,18.0,18.3,22863000
2025-06-04,18.3,18.55,18.2,18.25,41724400
2025-06-05,18.2,18.4,18.05,18.1,12655700
2025-06-06,18.1,18.1,17.8,17.8,20106300
2025-06-09,17.75,17.9,17.65,17.85,14015700
2025-06-10,17.9,18.2,17.85,17.95,20277000
2025-06-11,18.05,18.05,17.9,18.0,6795100
2025-06-12,18.05,18.3,18.05,18.2,21883000
2025-06-13,18.05,18.4,17.9,18.15,29219800
2025-06-16,18.15,18.8,18.15,18.8,71722500
2025-06-17,18.9,19.0,18.6,18.8,35021100
2025-06-18,18.8,18.95,18.5,18.5,23610700
2025-06-19,18.5,18.75,18.5,18.5,17971800
2025-06-20,18.6,18.85,18.45,18.45,24901400
2025-06-23,18.35,18.5,18.25,18.4,18209500
2025-06-24,18.55,18.75,18.45,18.55,42718000
2025-06-25,18.6,18.7,18.4,18.4,17177500
2025-06-26,18.5,18.55,18.35,18.35,10934900
2025-06-27,18.5,18.75,18.45,18.5,21153100
2025-06-30,18.55,18.65,18.5,18.5,11547500
2025-07-01,18.5,18.6,18.4,18.45,17060200
2025-07-02,18.45,18.6,18.35,18.6,18377700
2025-07-03,18.55,18.85,18.5,18.65,47153200
2025-07-04,18.7,18.85,18.6,18.75,22180000
2025-07-07,18.9,19.35,18.9,19.3,53672800
2025-07-08,19.35,19.6,19.05,19.6,45382200
2025-07-09,19.8,20.15,19.7,20.05,66441400
2025-07-10,20.15,20.25,19.9,20.15,36743400
2025-07-11,20.2,20.35,19.9,20.15,45180900
2025-07-14,20.25,21.2,20.2,21.0,63378600
2025-07-15,21.15,21.2,20.75,20.75,48779100
2025-07-16,20.75,21.0,20.5,20.85,31463400
2025-07-17,21.0,21.3,20.75,20.9,49437400
2025-07-18,20.9,21.65,20.8,21.35,47947600
2025-07-21,21.6,22.5,21.35,22.3,72588400
2025-07-22,22.15,22.6,21.8,22.5,41725200
2025-07-23,22.8,23.6,22.5,23.35,73950900
2025-07-24,23.9,23.9,23.15,23.5,47157800
2025-07-25,23.5,24.15,23.4,24.05,54483100
2025-07-28,24.35,25.15,24.0,25.1,57164800
2025-07-29,25.1,25.8,23.55,23.6,83065000
2025-07-30,23.8,25.25,23.5,25.25,70974800
2025-07-31,25.8,26.1,25.55,25.8,55195800
2025-08-01,25.9,25.9,25.0,25.8,55593400
2025-08-04,25.25,26.4,25.25,26.4,38227100
2025-08-05,26.65,27.65,25.6,26.5,71760200
2025-08-06,26.55,27.1,26.3,27.1,28376400
2025-08-07,27.85,28.95,27.4,28.95,62566800
2025-08-08,29.5,29.55,28.0,29.55,44921400
2025-08-11,29.5,29.95,29.0,29.6,33778300
2025-08-12,29.6,29.8,29.2,29.6,35529800
2025-08-13,29.3,29.55,28.0,28.8,43486100
2025-08-14,29.4,30.8,29.2,30.8,69328900
2025-08-15,32.8,32.8,30.9,31.1,64889700
2025-08-18,32.05,32.55,31.6,32.0,46632900
2025-08-19,32.7,34.2,32.7,34.2,21644900
2025-08-20,35.6,36.55,33.7,36.55,75558800
2025-08-21,37.0,38.9,36.7,38.65,51427900
2025-08-22,38.0,38.25,35.95,35.95,75347200
2025-08-25,35.95,36.0,33.45,33.5,67974200
2025-08-26,33.05,34.35,32.75,34.3,47968700
2025-08-27,34.5,34.7,32.5,33.3,57247900
2025-08-28,33.1,34.2,32.6,34.0,37019300
2025-08-29,34.0,36.3,33.65,35.0,65834600
2025-09-03,35.15,35.4,34.35,34.5,28617800
2025-09-04,34.7,35.0,33.8,34.9,44836900
2025-09-05,35.5,35.5,33.5,33.5,37902100
2025-09-08,33.3,33.35,31.2,31.2,58073200
2025-09-09,31.5,32.55,31.35,32.4,39698200
2025-09-10,32.85,32.95,31.8,32.45,22042300
2025-09-11,32.05,32.35,30.45,32.25,44389200
2025-09-12,32.1,32.3,31.55,31.6,23141700
2025-09-15,31.5,32.2,30.95,31.55,64130100
2025-09-16,31.55,32.85,31.5,31.7,70212600
2025-09-17,31.7,31.95,31.0,31.0,26679300
2025-09-18,31.1,31.25,30.3,30.8,26645900
2025-09-19,30.9,30.95,30.0,30.4,28454900
2025-09-22,30.35,30.4,29.3,29.5,54206200
2025-09-23,29.6,30.65,29.6,29.9,27129500
2025-09-24,30.1,31.6,29.55,31.6,40528600
2025-09-25,31.7,31.85,30.9,30.95,30534200
2025-09-26,30.95,31.1,30.4,30.4,25508600
2025-09-29,30.5,31.2,30.05,31.1,33075500
2025-09-30,31.25,31.25,30.3,31.1,28902200
2025-10-01,31.1,31.55,30.85,30.9,16624800
2025-10-02,31.1,31.5,30.15,30.15,31474300
2025-10-03,30.15,30.2,29.5,29.5,30206400
2025-10-06,30.25,31.55,30.0,31.55,42838700
2025-10-07,31.9,31.9,30.9,31.05,26704000
2025-10-08,31.4,31.65,30.7,31.1,25369900
2025-10-09,31.3,32.1,31.1,32.1,39130900
2025-10-10,32.3,32.35,31.7,32.1,34643000
2025-10-13,31.6,31.85,31.25,31.7,35739000
2025-10-14,31.9,32.85,31.9,32.5,57074600
2025-10-15,32.75,34.65,32.75,33.7,92652500
2025-10-16,33.8,33.9,33.2,33.2,30745500
2025-10-17,33.2,33.35,31.9,31.95,50287200
2025-10-20,31.55,31.8,29.75,29.75,52634700
2025-10-21,29.5,30.65,28.35,30.35,54104300
2025-10-22,30.45,30.45,29.4,30.45,26715100
2025-10-23,30.5,30.8,30.0,30.0,14351400
2025-10-24,29.9,29.9,29.0,29.2,23926000
2025-10-27,29.5,29.8,28.3,28.3,23908400
2025-10-28,28.2,29.45,28.05,29.45,26721300
2025-10-29,29.7,30.3,29.45,29.85,25082900
2025-10-30,30.25,30.25,28.95,29.2,19085200
2025-10-31,29.2,29.35,28.65,28.7,15506600
2025-11-03,29.05,29.05,27.6,27.6,23165800
2025-11-04,27.55,29.5,27.25,29.5,31974700
2025-11-05,29.0,29.45,28.8,29.25,13066000
2025-11-06,29.2,29.2,28.4,28.5,13235900
2025-11-07,28.45,28.5,27.3,27.5,23937800
2025-11-10,27.4,28.2,27.4,27.5,16818300
2025-11-11,27.75,27.8,27.4,27.5,14818100
2025-11-12,27.65,28.3,27.5,28.0,16274200
2025-11-13,28.3,28.35,27.75,27.75,12863200
2025-11-14,27.6,28.2,27.6,27.8,11783400
2025-11-17,27.95,28.4,27.85,28.1,12074200
2025-11-18,28.3,28.8,28.15,28.8,18859400
2025-11-19,28.7,28.75,28.1,28.1,16825600
2025-11-20,28.25,28.75,28.0,28.55,19548400
2025-11-21,28.35,28.7,28.0,28.55,18164600
2025-11-24,28.55,29.2,28.4,29.0,18118500
2025-11-25,28.95,29.0,28.1,28.2,14577900
2025-11-26,28.2,29.1,28.2,29.0,18812900
2025-11-27,29.05,29.5,28.8,29.1,14878100
2025-11-28,29.1,29.25,28.7,29.25,11904900
2025-12-01,29.05,29.55,28.85,29.3,11852800
2025-12-02,29.25,29.25,28.7,28.9,10412200
2025-12-03,29.15,30.3,29.0,30.25,30066400
2025-12-04,30.35,30.45,29.9,30.25,16875100
2025-12-05,30.25,30.3,29.8,29.85,12515000
2025-12-08,29.8,30.25,29.55,29.7,15691000
2025-12-09,29.65,29.7,28.4,28.75,25274800
2025-12-10,28.75,29.1,28.5,29.0,9284000
2025-12-11,28.95,29.0,28.15,28.15,10971700
2025-12-12,28.1,28.2,26.55,26.55,21016800
2025-12-15,26.6,27.5,26.6,27.5,18306600
2025-12-16,27.45,28.3,26.8,28.25,11815200
2025-12-17,28.2,28.3,27.8,28.0,6311700
2025-12-18,28.0,28.3,27.7,28.3,7996800
2025-12-19,28.25,28.45,28.0,28.45,9896000
2025-12-22,28.45,29.0,28.1,29.0,13903800
2025-12-23,29.1,29.4,28.55,28.7,12224300
2025-12-24,28.6,29.3,28.4,29.3,15286500
2025-12-25,29.3,29.7,28.75,28.75,14199000
2025-12-26,28.2,28.85,27.35,28.15,27183600
2025-12-29,28.15,28.3,27.8,28.0,20347900
2025-12-30,27.9,29.1,27.9,28.7,23124400
2025-12-31,28.7,29.0,28.55,28.65,22530100
2026-01-05,28.65,28.8,27.55,27.9,16194100
2026-01-06,27.85,28.9,27.65,28.85,21660200
2026-01-07,29.15,29.75,29.1,29.25,34203500
2026-01-08,29.3,29.75,29.0,29.25,29952600
2026-01-09,29.25,29.65,28.2,28.25,37610200
2026-01-12,28.5,30.2,28.15,30.2,49690500
2026-01-13,31.3,31.45,30.3,30.5,42211100
2026-01-14,30.55,30.8,29.2,29.5,44749400
2026-01-15,29.35,29.4,28.75,29.0,34620800
2026-01-16,29.3,29.45,28.85,28.9,24981000
2026-01-19,28.95,29.8,28.9,29.65,30777100
2026-01-20,30.15,30.95,29.7,29.75,48697600
2026-01-21,29.65,29.65,29.0,29.05,34082700
2026-01-22,29.1,29.4,29.05,29.2,19795300
2026-01-23,29.2,29.3,28.5,28.5,31092900
2026-01-26,28.6,28.65,27.6,27.75,32470600
2026-01-27,27.8,28.1,27.7,27.8,12846500
2026-01-28,27.95,28.3,27.65,27.75,14212000
2026-01-29,28.0,28.15,27.65,27.65,8246800
2026-01-30,27.75,28.0,27.55,28.0,15839700
2026-02-02,27.85,28.0,27.25,27.6,14154800
2026-02-03,27.85,28.0,27.5,27.5,15333400
2026-02-04,27.5,27.8,27.25,27.75,16720100
2026-02-05,28.0,28.05,27.4,27.4,9669100
2026-02-06,27.2,27.25,26.8,26.8,18137700
2026-02-09,27.0,27.15,26.65,26.75,8770500
2026-02-10,26.7,27.3,26.35,26.6,11076900
2026-02-11,26.8,28.3,26.8,28.3,28252000
2026-02-12,28.35,28.5,28.15,28.25,8140700
2026-02-13,28.1,28.3,27.9,28.3,12905500
2026-02-23,28.45,29.15,28.3,28.8,15465000
2026-02-24,28.7,29.15,28.55,29.0,18101200
2026-02-25,29.0,29.5,28.8,28.85,20144800
2026-02-26,29.0,29.2,28.85,28.9,13933100
2026-02-27,29.05,29.45,28.75,28.95,18002900
2026-03-02,28.25,28.7,27.95,28.05,24664300
2026-03-03,28.05,28.45,27.3,27.45,18795100
2026-03-04,27.35,27.65,26.5,27.15,26580500
